e,eLabel,start,end,sprec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q201038,Roman Kingdom,-0752-04-13T00:00:00Z,-0508-01-01T00:00:00Z,11,historical period,78,
http://www.wikidata.org/entity/Q1235331,Greek-Punic Wars,-0579-01-01T00:00:00Z,-0264-01-01T00:00:00Z,9,series of wars,24,Italy
http://www.wikidata.org/entity/Q852337,geometric art,-0899-01-01T00:00:00Z,-0750-01-01T00:00:00Z,9,art style,34,
http://www.wikidata.org/entity/Q852337,geometric art,-0899-01-01T00:00:00Z,-0750-01-01T00:00:00Z,9,archaeological period,34,
http://www.wikidata.org/entity/Q1127723,Paracas culture,-0899-01-01T00:00:00Z,-0199-01-01T00:00:00Z,9,archaeological culture,29,
http://www.wikidata.org/entity/Q33745,Peloponnesian War,-0430-01-01T00:00:00Z,-0403-04-20T00:00:00Z,9,war,81,Italy
http://www.wikidata.org/entity/Q2911414,Second Temple period,-0529-01-01T00:00:00Z,0070-01-01T00:00:00Z,9,historical period,19,Hasmonean Judea
http://www.wikidata.org/entity/Q728428,Second Temple,-0515-01-01T00:00:00Z,0070-08-28T00:00:00Z,9,structure of worship,53,Kingdom of Judah
http://www.wikidata.org/entity/Q728428,Second Temple,-0515-01-01T00:00:00Z,0070-08-28T00:00:00Z,9,destroyed building or structure,53,Kingdom of Judah
http://www.wikidata.org/entity/Q754749,Twenty-fourth Dynasty of Egypt,-0726-01-01T00:00:00Z,-0714-01-01T00:00:00Z,9,Egyptian dynasty,40,Ancient Egypt
http://www.wikidata.org/entity/Q1276649,Seven Warring States,-0374-01-01T00:00:00Z,-0220-01-01T00:00:00Z,9,group,19,Eastern Zhou
http://www.wikidata.org/entity/Q1276649,Seven Warring States,-0374-01-01T00:00:00Z,-0220-01-01T00:00:00Z,9,heptad,19,Eastern Zhou
http://www.wikidata.org/entity/Q738787,Lelantine War,-0709-01-01T00:00:00Z,-0649-01-01T00:00:00Z,9,war,23,
http://www.wikidata.org/entity/Q2075775,Second Messenian War,-0684-01-01T00:00:00Z,-0667-01-01T00:00:00Z,9,war,20,
http://www.wikidata.org/entity/Q833118,Twenty-eighth Dynasty of Egypt,-0403-01-01T00:00:00Z,-0398-01-01T00:00:00Z,9,Egyptian dynasty,34,Ancient Egypt
http://www.wikidata.org/entity/Q758173,Plague of Athens,-0429-01-01T00:00:00Z,-0425-01-01T00:00:00Z,9,epidemic,31,Greece
