e,eLabel,time,prec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q720583,Tigranocerta,-0077-01-01T00:00:00Z,9,archaeological site,37,Turkey
http://www.wikidata.org/entity/Q720583,Tigranocerta,-0077-01-01T00:00:00Z,9,ancient city,37,Turkey
http://www.wikidata.org/entity/Q442,Natural History,0074-01-01T00:00:00Z,9,written work,57,
http://www.wikidata.org/entity/Q170263,Chester,0079-01-01T00:00:00Z,9,city,89,United Kingdom
http://www.wikidata.org/entity/Q170263,Chester,0079-01-01T00:00:00Z,9,county town,89,United Kingdom
http://www.wikidata.org/entity/Q170263,Chester,0079-01-01T00:00:00Z,9,unparished area,89,United Kingdom
http://www.wikidata.org/entity/Q731284,Temple of Vespasian and Titus,0079-01-01T00:00:00Z,9,temple,25,Italy
http://www.wikidata.org/entity/Q731284,Temple of Vespasian and Titus,0079-01-01T00:00:00Z,9,Roman temple,25,Italy
http://www.wikidata.org/entity/Q25979,Kushan Empire,0030-01-01T00:00:00Z,9,historical country,90,
http://www.wikidata.org/entity/Q1003997,Judaea,0006-01-01T00:00:00Z,9,Roman province,54,Roman Empire
http://www.wikidata.org/entity/Q2981413,Meetei Mayek,0006-01-01T00:00:00Z,9,abugida,25,India
http://www.wikidata.org/entity/Q2981413,Meetei Mayek,0006-01-01T00:00:00Z,9,unicase alphabet,25,India
http://www.wikidata.org/entity/Q2981413,Meetei Mayek,0006-01-01T00:00:00Z,9,script in Unicode,25,India
http://www.wikidata.org/entity/Q2981413,Meetei Mayek,0006-01-01T00:00:00Z,9,natural writing system,25,India
http://www.wikidata.org/entity/Q179656,Amphitheater of Nîmes,0090-01-01T00:00:00Z,9,archaeological site,27,France
http://www.wikidata.org/entity/Q179656,Amphitheater of Nîmes,0090-01-01T00:00:00Z,9,sports venue,27,France
http://www.wikidata.org/entity/Q179656,Amphitheater of Nîmes,0090-01-01T00:00:00Z,9,bullring,27,France
http://www.wikidata.org/entity/Q179656,Amphitheater of Nîmes,0090-01-01T00:00:00Z,9,Roman amphitheatre,27,France
http://www.wikidata.org/entity/Q179656,Amphitheater of Nîmes,0090-01-01T00:00:00Z,9,first class bullring,27,France
http://www.wikidata.org/entity/Q1841,Catholicism,0033-01-01T00:00:00Z,9,religion or world view,143,
http://www.wikidata.org/entity/Q1841,Catholicism,0033-01-01T00:00:00Z,9,Christian denominational family,143,
http://www.wikidata.org/entity/Q5043,Christianity,0033-01-01T00:00:00Z,9,religion,322,
http://www.wikidata.org/entity/Q5043,Christianity,0033-01-01T00:00:00Z,9,Abrahamic religion,322,
http://www.wikidata.org/entity/Q5043,Christianity,0033-01-01T00:00:00Z,9,major religious group,322,
http://www.wikidata.org/entity/Q5043,Christianity,0033-01-01T00:00:00Z,9,monotheistic religion,322,
http://www.wikidata.org/entity/Q9592,Catholic Church,0033-01-01T00:00:00Z,9,Christian Church,208,Vatican City
http://www.wikidata.org/entity/Q9592,Catholic Church,0033-01-01T00:00:00Z,9,Christian denomination,208,Vatican City
http://www.wikidata.org/entity/Q9592,Catholic Church,0033-01-01T00:00:00Z,9,church congregation,208,Vatican City
http://www.wikidata.org/entity/Q9592,Catholic Church,0033-01-01T00:00:00Z,9,historic Church,208,Vatican City
http://www.wikidata.org/entity/Q19546,Pope,0033-01-01T00:00:00Z,9,Roman Catholic episcopal title,199,Vatican City
http://www.wikidata.org/entity/Q34651,Christian Church,0033-05-22T00:00:00Z,11,type of organization,114,
http://www.wikidata.org/entity/Q34651,Christian Church,0033-05-22T00:00:00Z,11,religious concept,114,
http://www.wikidata.org/entity/Q34651,Christian Church,0033-05-22T00:00:00Z,11,type of Christian institution,114,
http://www.wikidata.org/entity/Q34651,Christian Church,0033-05-22T00:00:00Z,11,ambiguous Wikidata item,114,
